Index,Name,Classification,dD,dP,dH,BP,LD50,CAS,Desc,Img_URL,SDS_Page
,1-Chloronaphthalene,Halogenated,20.5,4.9,2.5,259,,90-13-1,b,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/1-chloronaphthalene_200.svg/1200px-1-chloronaphthalene_200.svg.png,-
,1-Methyl Naphthalene,NH & Aromatic,19.7,0.8,4.7,245,,90-12-0,B,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=7002&t=l,-
,1-Methyl-4-(1-Methylethenyl)Benzene,NH & Aromatic,17.7,2.7,2.9,186.8,,1195-32-0,b,http://www.chemspider.com/ImagesHandler.ashx?id=56173&w=250&h=250,-
,1-Pentanol,"Alcohol, Ketones, & Water",15.9,5.9,13.9,138,,71-41-0,b,http://www.chemspider.com/ImagesHandler.ashx?id=6040&w=250&h=250,-
,1-Pentylcyclopentane,NH & Aromatic,16.6,2,3,180,,,b,http://www.chemspider.com/ImagesHandler.ashx?id=18410&w=250&h=250,-
,1-Phenylnaphthalene,NH & Aromatic,19.9,2.7,3.8,357.2,,0605-02-07,b,http://www.chemspider.com/ImagesHandler.ashx?id=11302&w=250&h=250,-
,"1,2-Dimethoxybenzene (Veratrol)",NH & Aromatic,19.2,4.4,9.4,207,,91-16-7,b,http://www.chemspider.com/ImagesHandler.ashx?id=13861009&w=250&h=250,-
,"1,4-Cineole",Terpene,17.1,3.6,3.7,65,3100,,b,https://file.medchemexpress.com/product_pic/hy-n7117.gif,-
,"1,8-Cineole (Eucalyptol)",Terpene,16.7,4.6,3.4,172,,,b,http://www.chemspider.com/ImagesHandler.ashx?id=2656&w=250&h=250,-
,2-Methyl Benzothiophene,NH & Aromatic,19.6,3.2,4.9,232.6,,1195-14-8,b,http://www.chemspider.com/ImagesHandler.ashx?id=64114&w=250&h=250,-
,2-Methyl Tetrahydrofuran (2-Me-THF),NH & NA,16.9,5,4.3,79,,96-47-9,b,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Methyltetrahydrofuran.svg/1200px-Methyltetrahydrofuran.svg.png,-
,2-Methylnaphthalene,NH & Aromatic,19.5,3.1,4.1,242,,,b,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/2-methylnaphthalene.svg/1200px-2-methylnaphthalene.svg.png,-
,2-phenylbutene-1,Terpene,17.2,2,2.6,185,,2039-93-2,b,http://www.chemspider.com/ImagesHandler.ashx?id=67435&w=250&h=250,-
,2-Propanol,"Alcohol, Ketones, & Water",15.8,6.1,16.4,82,,67-63-0,b,http://www.chemspider.com/ImagesHandler.ashx?id=3644&w=250&h=250,-
,"2,2-Dimethyltetrahydrofuran",NH & NA,16,3.9,3.7,93,,,b,http://www.chemspider.com/ImagesHandler.ashx?id=120544&w=250&h=250,-
,"2,5-Dimethylthiophenol",NH & Aromatic,19.5,3.1,4.5,211.9,,4001-61-0,b,http://www.chemspider.com/ImagesHandler.ashx?id=70020&w=250&h=250,-
,"3,4-Dimethylthiophenol",NH & Aromatic,19.5,3.1,4.5,211.9,,18800-53-8,b,http://www.chemspider.com/ImagesHandler.ashx?id=79210&w=250&h=250,-
,a-methylstyrene,NH & Aromatic,18.5,2.4,2.4,166,4500,,b,http://www.chemspider.com/ImagesHandler.ashx?id=7129&w=250&h=250,-
,Acetone,"Alcohol, Ketones, & Water",15.5,10.4,7,56,,67-64-1,b,https://pubchem.ncbi.nlm.nih.gov/image/imgsrv.fcgi?cid=180&t=l,https://pubchem.ncbi.nlm.nih.gov/compound/180
,Allyl Methyl Sulfide,NH & NA,17,4.1,4.3,92,2980,,b,http://www.chemspider.com/ImagesHandler.ashx?id=21159856&w=250&h=250,-
,Amyl Methyl Disulfide,NH & NA,16.9,4.9,3.7,200,,,b,http://www.chemspider.com/ImagesHandler.ashx?id=455742&w=250&h=250,-
,Amyl methyl Sulfide,NH & NA,16.9,4.9,3.7,145,,,b,http://www.chemspider.com/ImagesHandler.ashx?id=14860&w=250&h=250,-
,Anisole,NH & Aromatic,17.8,4.4,6.9,154,5290,100-66-3,,http://www.chemspider.com/ImagesHandler.ashx?id=7238&w=250&h=250,-
,Artemisia Ketone,Terpene,15.9,5.8,5.1,181,,,Flavoring Agent with a herbal honey mint berry odour. ,http://www.chemspider.com/ImagesHandler.ashx?id=61641&w=250&h=250,-
,Benzaldehyde,NH & Aromatic,19.4,7.4,5.3,178.1,,100-52-7,,http://www.chemspider.com/ImagesHandler.ashx?id=235&w=250&h=250,-
,Benzyl Benzoate,NH & Aromatic,20,5.1,5.2,324,,120-51-4,,http://www.chemspider.com/ImagesHandler.ashx?id=13856959&w=250&h=250,-
,Bisabolene,Terpene,16.7,2.2,4,130,5000,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bisabolene-alpha.svg/1200px-Bisabolene-alpha.svg.png,-
,Butyl Benzoate,NH & Aromatic,18.3,5.6,5.5,250,,136-60-7,,http://www.chemspider.com/ImagesHandler.ashx?id=8374&w=250&h=250,-
,Carbon Disulfide (0 Dipole Moment),NH & NA,20.2,0,0.6,46.3,,75-15-0,,http://www.chemspider.com/ImagesHandler.ashx?id=6108&w=250&h=250,-
,Carvone,Terpene,18,5.6,6.4,231,2263,,,http://www.chemspider.com/ImagesHandler.ashx?id=15855&w=250&h=250,-
,Chlorobenzene,Halogenated,19,7.6,2.1,132,,108-90-7,,http://www.chemspider.com/ImagesHandler.ashx?id=7676&w=250&h=250,-
,Chloroform,Halogenated,17.8,3.1,5.7,61.2,,67-66-3,Most commonly used solvent for organic electronics fabrication,http://www.chemspider.com/ImagesHandler.ashx?id=5977&w=250&h=250,-
,Citral,Terpene,16.3,2.3,6.2,225,4960,,,https://file.medchemexpress.com/product_pic/hy-n7083.gif,-
,Citronellal,Terpene,16.2,5.9,5.2,208,2420,,,http://www.chemspider.com/ImagesHandler.ashx?id=7506&w=250&h=250,-
,Citronellol,Terpene,16,4.7,10.7,225,3450,,,,-
,Cocoa Butenal,Terpene,18.3,5.9,4.8,177,,4411-89-6,,,
,Cyclopentyl Methyl Ether (CPME),NH & NA,16.7,4.3,4.3,106,,5614-37-9,,,
,Cynamaldehyde,Terpene,18.7,6.7,5.4,248,3350,,,,
,d-Limonene,Terpene,17.2,1.8,4.3,177,,5989-27-5,"A naturally-occurring class of moterpenes which occur as a clear colorless liquid at room temperature. Limonene is the major component in the oil of oranges which has many uses, including as flavor and fragrance. It is recognized as safe in food by the Food and Drug Administration (FDA).",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/%28R%29-Limonen.svg/800px-%28R%29-Limonen.svg.png,https://www.fishersci.com/store/msds?partNumber=AC203731000&productDescription=%28-%29-LIMONENE+92%25+100ML&vendorId=VN00032119&countryCode=US&language=en
,Dicyclohexyl disulfide,NH & NA,17.7,1.9,3.1,162,2000,,,,
,Diethyl Carbonate,NH & NA,15.1,6.3,3.5,127,,105-58-8,,,
,Diethyl sulfide,NH & NA,16.8,3.1,2,92,2000,,,,
,Diethylene Glycol,"Alcohol, Ketones, & Water",16.6,12,19,245,,111-46-6,,,
,Diiodooctane,Halogenated,18.1,3.8,3.3,332.5,,-,,,
,Dimethyl Disulfide,NH & NA,17.6,7.8,6.5,110,,,,,
,Dimethyl Sulfide,NH & NA,16.1,6.4,7.4,37,,75-18-3,,,
,Dimethyl Sulfoxide (DMSO),NH & NA,18.4,16.4,10.2,191,,67-68-5,,,
,Dipentene,Terpene,16.7,2.2,4,176,2000,,,,
,Diphenyl Ether,NH & Aromatic,19.4,3.4,4,258,,,,,
,Diphenyl sulfide,NH & NA,20.3,3.5,3.5,296,12000,,,,
,Diphenylmethane,NH & Aromatic,19.5,1,1,264,,101-81-5,,,
,Dipropyl Disulfide,NH & NA,16.2,4.5,3.4,193,,629-19-6,,,
,Dipropyldisulfide,NH & NA,16.2,4.5,3.4,196,2000,,,,
,Ethanol,"Alcohol, Ketones, & Water",15.8,8.8,19.4,78.4,,64-17-5,,,
,Ethanolamine,NH & NA,17,15.5,21,170,,141-43-5,,,
,Ethyl Acetate,NH & NA,18.8,5.3,7.2,77.1,5620,,,,
,Ethyl Lactate,NH & NA,16,7.6,12.5,154,2500,97-64-3,,,
,Ethyl Methyl Sulfide,NH & NA,17.1,4.8,2.5,67,5000,,,,
,Ethyl Pentyl Sulfide,NH & NA,16.6,2.8,3,172.3,,26158-99-6,,,
,Ethyl Phenyl Sulfide,NH & Aromatic,19.2,4.7,5.6,204,,,,,
,Ethylene Glycol,"Alcohol, Ketones, & Water",17,11,26,197,,,,,
,Ethylene Glycol Monomethyl Ether,"Alcohol, Ketones, & Water",16,8.2,15,124,,109-86-4,,,
,Eucalyptol,Terpene,16.7,2.8,2.5,177,4200,10008-91-0,,,
,Eucarvone,Terpene,17.5,5,3.8,227,635,,,,
,Farnesol,Terpene,16.4,3.8,7.7,111,2150,,,,
,Geraniol,Terpene,16,4.7,11,230,3600,,,,
,Glycerol,"Alcohol, Ketones, & Water",17.4,11.3,27.2,290,,56-81-5,,,
,Heptane,"Alcohol, Ketones, & Water",15.3,0,0,98,,142-82-5,,,
,Indane,NH & Aromatic,19,3,2.9,176.5,,0496-11-7,,,
,Isobutylamine,NH & NA,15.5,4.4,6.9,63,,,,,
,Jasminone,Terpene,17.5,5.5,3.1,175,5000,,,,
,L-Menthone,Terpene,16.9,5,2.4,207,2180,14073-97-3,,,
,Laevo-Fenchone,Terpene,17.4,5.2,2.1,193,,7787-20-4,,,
,Laevo-Rose-Oxide,Terpene,16.7,3,3.4,182,4300,3033-23-6,,,
,Leaf Acetal,Terpene,16.9,3.7,3.7,195,5000,7493-57-4,,,
,Linalool,Terpene,16.5,2,9.1,202.4,2790,,,,
,Linalyl acetate,Terpene,16,2.8,5.5,220,13360,,,,
,m-Methylstyrene,NH & Aromatic,17.9,2.2,2.6,169.7,,100-80-1,,,
,m-Xylene,NH & Aromatic,18,2.3,2.3,144.5,,,,,
,Mesitylene,NH & Aromatic,18,0.6,0.6,165,,108-67-8,,,
,Methanesulfonic Acid,NH & NA,18.7,21,24.7,167,,75-75-2,,,
,Methanol,"Alcohol, Ketones, & Water",14.7,12.3,22.3,65,,67-56-1,,,
,Methyl Butyl Sulfide,NH & NA,16.7,3.3,3.1,124.2,,628-29-5,,,
,Methyl Pentyl Sulfide,NH & NA,16.7,3.1,3.2,145,,1741-83-9,,,
,Methyl Phenyl Sulfide,NH & Aromatic,19.6,4.8,4.7,195,,,,,
,Methyl Propyl Sulfide,NH & NA,16.7,3.5,3.3,97,535,3877-15-4,,,
,Methylene Diiodide (Diiodomethane),Halogenated,22,3.9,5.5,181,,75-11-6,,,
,Myrcene,Terpene,16,2.2,5.1,167,5000,,,,
,n-Butyl Acetate,NH & NA,15.8,3.7,6.3,126,3200,123-86-4,,,
,n-Butyl Amine,NH & NA,16.2,4.5,8,77,,109-73-9,,,
,n-Methyl-2-Pyrrolidone (Nmp),NH & NA,18,12.3,7.2,202,,872-50-4,,,
,Nerol,Terpene,16.7,4.5,11.3,226,4500,,,,
,Nerolidol,Terpene,16.4,2.7,8.7,122,5000,,,,
,o-Methylanisole,NH & Aromatic,18.3,4.7,4.8,170,,578-58-5,,,
,O-Xylene,NH & Aromatic,17.8,1,3.1,144.5,3680,106-42-3,,,
,Ocimene,Terpene,17.4,1.7,3.3,100,5600,,,,
,Octane,"Alcohol, Ketones, & Water",15.5,0,0,125.6,,111-65-9,,,
,Oleic Acid,NH & NA,16,2.8,6.2,360,,112-80-1,,,
,p-Anisaldehyde,NH & NA,19.1,10,7.4,248,,0123-11-5,,,
,p-Cymene,NH & NA,17.4,2.3,2.4,177,4750,99-87-6,,,
,p-Methylstyrene,NH & Aromatic,18,2.9,3.6,172.5,,622-97-9,,,
,p-Xylene,NH & Aromatic,17.8,1,3.1,144.5,,,,,
,Pentafluorostyrene,NH & NA,16.2,2.7,3.3,139,,653-34-9,,,
,Pentylamine,NH & NA,15.9,4.2,7.6,106.5,,110-58-7,,,
,Pentylcyclopentane,NH & NA,16.1,0.1,0.1,182,,,,,
,Perillaldehyde,Terpene,17.1,6.9,5.9,237,1720,,,,
,Phellandrene,Terpene,16.5,1.6,3.9,171,5700,,,,
,Phenetole (Ethyl Phenyl Ether),NH & Aromatic,18.4,4.5,4,168,,,,,
,Pinol,Terpene,16.5,2.4,3.1,192,438,,,,
,Piperitone,Terpene,17,6.2,4.5,233,2450,,,,
,Poly(Ethylene Glycol),"Alcohol, Ketones, & Water",16.3,3.7,7.6,150,,25322-68-3,,,
,Propylene Carbonate,"Alcohol, Ketones, & Water",20,18,4.1,242,,108-32-7,,,
,Propylene Glycol,"Alcohol, Ketones, & Water",16.8,10.4,21.3,188.2,,57-55-6,,,
,Pulegone,Terpene,17.5,8.9,5.5,224,1709,,,,
,Quinoline,NH & Aromatic,20.5,5.6,5.7,237.3,,91-22-5,,,
,Sabinene,Terpene,16.6,1.5,1.8,163.6,7060,,,,
,Spicy Pentanone,Terpene,17.3,4.3,3.3,103,3700,5349-62-2,,,
,Sylvestrene,Terpene,16.6,3,4.1,175.4,5000,,,,
,Terpinene,Terpene,17.2,1.8,4.3,183,3650,,,,
,Terpineol,Terpene,17,5.3,10.9,219,4300,,,,
,Terpinolene,Terpene,17.2,1.9,4.1,186,4390,,,,
,Tetrahydrofuran (THF),NH & NA,16.8,5.7,8,66,,109-99-9,,,
,Tetrahydronaphthalene (Tetralin),NH & Aromatic,19.6,2,2.9,208,,119-64-2,,,
,Toluene,NH & Aromatic,18,1.4,2,111,,108-88-3,,,
,Trimethylbenzene,NH & Aromatic,18,1,1,169,,,,,
,Umbellulone,Terpene,17.7,6.6,4.1,220,1450,,,,
,Water,"Alcohol, Ketones, & Water",15.5,16,42.3,100,90000,7732-18-5,The ideal green solvent. ,https://useruploads.socratic.org/Av5galnwSZCm71nHdUx0_770px-Water-2D-flat.png,https://pubchem.ncbi.nlm.nih.gov/compound/962
,Zingiberene,Terpene,16.6,1.4,4.1,135,2000,,,,
,β-Pinene,Terpene,16.2,1,1.8,160,4700,127-91-3,,,
,β-Pinene,Terpene,16.2,1,1.8,166,,,,,
,γ-Butyrolactone (GBL),NH & NA,18,16.6,7.4,204,,96-48-0,,,
,γ-Valerolactone,NH & NA,16.8,11.4,6.7,195.9,,108-29-2,,,
,Vanillin,Terpene,19.3,11.1,13.9,285,3978,121-33-5,,,
